User Name,Time,Tweet,User Location,Retweeted Count,Favorited Count,Replied
edifiedlistener,2019-11-04 20:27:25,"From my ivy undergrad alma mater: ""a family of funds that enables [...] to nimbly respond to today's most pressing  ","Vienna, Austria",0,0,NaN
grawoig,2019-11-04 20:27:00,"Breaking:  failed to inform federal agency of 'abusive' professor's conduct, unpaid leave"" ","Boston, MA",2,0,NaN
BlueSea1964,2019-11-04 20:27:00,University faces legal threats from students of color who demand university stop using the SAT and ACT because their scores ' ,NaN,25,0,NaN
Xkatemu86,2019-11-04 20:26:26,"Parliament has learnt that due to tuition fees increment at Makerere University, about 1000 students have discontinued s ","Bushenyi, Uganda",55,0,NaN
rover__estates,2019-11-04 20:26:18,"Today, our motivator is Chimamanda Adichie, a renowned author and women's rights activist. ; ;Chimamanda was born i  ","Lagos, Nigeria",0,0,NaN
sachadarke,2019-11-04 20:25:20,"Policy Press | Degrees of Freedom - Prison Education at The Open University, By Rod Earle and James Mehigan ","Inglaterra, Reino Unido",11,0,NaN
baltazar_az,2019-11-04 20:25:16,We need culturally competent people leading in higher education. This is embarrassing.  ,"Ann Arbor, MI",0,0,NaN
cestoronto,2019-11-04 20:25:05,The only risk is to spend too much time texting your new friends and family from CES Toronto!;.;.;.;.;.;#CESToronto  ,"543 Yonge Street, Second Floor",0,0,NaN
kidgolferman,2019-11-04 20:24:42,University faces legal threats from students of color who demand university stop using the SAT and ACT because their scores ' ,north,25,0,NaN
NickEWI,2019-11-04 20:24:32, Education has gone downhill.;;Most kids going to college suffer from inflated egos given to them by tea  ,"Lenexa, KS",0,0,1191449673296420864
SeanJC,2019-11-04 20:24:08," Don't tell me, it was Diane Abbott who did the sums and said Yes we can fund that. Just like your off  ","Richmond, North Yorkshire",0,0,1191252236296478720
petjamwil,2019-11-04 20:22:50,Conservative cuts to OSAP mean fewer students will graduate from our programs.;;We need to broaden access to post-secondar ,NaN,21,0,NaN
rover__estates,2019-11-04 20:22:43,"Today, our motivator is Chimamanda Adichie, a renowned author and women's rights activist. ; ;Chimamanda was born i  ","Lagos, Nigeria",0,0,NaN
Geofex,2019-11-04 20:22:20,Are you looking to advance your career in the field of education? The online MA in Education from the University of Ex ,Lord.Life.Love. Dieu.Vie.Amour,3,0,NaN
Sodiumkitten,2019-11-04 20:21:54,"   Uhm. My country pays almost fully for university and it didn't make us poor, Th  ","Bern, Schweiz",0,0,1191236278815207424
brainpower_10,2019-11-04 20:21:46,We took a trip down to Dallas to attend the 1st Brain Education Leadership Summit hosted at The University Of Texas  ,"Queens, NY",0,0,NaN
8_16_32bit,2019-11-04 20:21:05,"Just thinking... I'm really lucky I went to university when I did. My debts are tiny, and I never paid for any tuit  ","Manchester, England",1,6,NaN
lilzeay,2019-11-04 20:20:38,admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,"Lagos, Nigeria",164,0,NaN
theleftshow,2019-11-04 20:20:36,A new training officer ain't gonna fix this . #utpol;,"Salt Lake City, UT",0,1,NaN
8_16_32bit,2019-11-04 20:19:35," Nah. I'm a Brit, and I got free University education.;;I accept not everyone likes what I like, but dism  ","Manchester, England",0,0,1191449426998501377
iamBabuMajumdar,2019-11-04 20:19:26,On the way to  University.. Thank you for the kind gesture of offering a scholarship to a girl student from India for h ,India,6750,0,NaN
CameronMVM,2019-11-04 20:19:23,"THREAD: For months, I ve been reporting for this article  requesting records, interviewing former staff + talking to s ","Eagle Mountain, UT",154,0,NaN
thestefanhansen,2019-11-04 20:19:10,Does it make sense that university educations take a certain number of years? Why not let students finish in less t  ,Denmark,0,1,NaN
uamsnurses,2019-11-04 20:19:08,"UAMS has a unique combination of education, research and clinical expertise that promotes and supports teamwork and  ","Little Rock, Arkansas",0,0,NaN
Preity94,2019-11-04 20:18:42,This guy got a degree from Osmania University. This is a fraud university in Andhra Pradesh-India. Students enroll and absco ,United States,11,0,NaN
UMES_DNS,2019-11-04 20:18:39,A college education transcends you to a new level. Discover the excellence that is the University of Maryland Eastern Shore F ,Princes,16,0,NaN
EarthDayNetwork,2019-11-04 20:18:37,. is our higher education outreach campaign designed to promote sustainability and #climateaction on cam  ,"Washington, DC",0,2,NaN
irrev1,2019-11-04 20:18:33,Living wage gives food for thought. Sudbury Workers' Education and Advocacy Centre (SWEAC) launches campaign tonight wit ,Capreol Ontario Canada,1,0,NaN
FreeLion7,2019-11-04 20:18:32,University faces legal threats from students of color who demand university stop using the SAT and ACT because their scores ' ,"Live Free or Die, NH",25,0,NaN
Sher_KJames,2019-11-04 20:17:27,admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A universit ,Nigeria ,7,0,NaN
Drewegan5,2019-11-04 20:17:26,I am proud to announce my commitment to further my education and play Division 1 baseball at Elon University. Thank you t ,"Whitman, MA",48,0,NaN
panesma,2019-11-04 20:17:18,"Newsom, Brooklynn Siebel Newsom;Education: Santa Clara University (1985 1989), Redwood High School. managed through  ",Nairobi Kenya,0,0,NaN
