Source,Author,Title,Description,URL,Published At,Content
Huffingtonpost.ca,Daniel Tencer,Canadian Cannabis Earnings Are A Bloodbath - HuffPost Canada,"Canadian Cannabis Earnings Are A Bloodbath HuffPost Canada 'Some of these guys are going to disappear': Slump hits cannabis industry CTV News Aurora expects it will beat peers to profitability, but when? Yahoo Canada Finance Pot companies reel from week of bl ",https://www.huffingtonpost.ca/entry/cannabis-earnings-canada_ca_5dcefcbee4b029474816fad3,2019-11-15T20:33:11Z,"MONTREAL   Weed may not be the product that sells itself after all. It s turning out to be a bit tricky to make a profit on the green stuff   legally   in Canada these days.;Some of Canada s largest cannabis manufacturers have reported dismal sales and weake  [+4195 chars]"
Youtube.com,NaN,Remembrance Day 2019: Canada Remembers | LIVE - Global News,Remembrance Day 2019: Canada Remembers | LIVE Global News Watch Remembrance Day at the Canadian War Museum: Live video Maclean's Remembrance Day poppies dropped over Dover The Sun View full coverage on Google News,https://www.youtube.com/watch?v=QT8kW3VoRtU,2019-11-11T14:55:12Z,"[[getSimpleString(data.title)]];[[getSimpleString(data.description)]];[[getSimpleString(data.videoCountText)]]"
Huffingtonpost.ca,Premila D'Sa,Conservative Leader Andrew Scheer Fires Staff Following Election Loss - HuffPost Canada,Conservative Leader Andrew Scheer Fires Staff Following Election Loss HuffPost Canada View full coverage on Google News,https://www.huffingtonpost.ca/entry/andrew-scheer-fires-staff_ca_5dd98bf4e4b0d50f3290c8ca,2019-11-23T23:08:43Z,"Federal Conservative Leader Andrew Scheer dismissed two of his top aides on Saturday as he and his party grapple with the fallout of what many see as a disappointing performance in last month s election.;Scheer announced the changes in a morning letter to ca  [+2605 chars]"
Huffingtonpost.ca,Zi-Ann Lum,Saskatchewan Premier Visibly Upset After Meeting With Trudeau - HuffPost Canada,Saskatchewan Premier Visibly Upset After Meeting With Trudeau HuffPost Canada Western alienation goes to Ottawa as Andrew Scheer and Scott Moe meet with Trudeau National Post Conservatives say energy corridor would address Trudeau s unity challenges The Globe ,https://www.huffingtonpost.ca/entry/scott-moe-justin-trudeau_ca_5dcb0890e4b0eb912129b650,2019-11-12T19:57:57Z,"OTTAWA  Conservative Leader Andrew Scheer and Saskatchewan Premier Scott Moe s back-to-back meetings with Prime Minister Justin Trudeau on Tuesday yielded few results in the search for national unity after a divisive federal election.;With the House of Comm  [+5427 chars]"
Thescore.com,Chicco Nacion,"Kawhi speaks fondly of Toronto, Canada: 'It was amazing' - theScore","Kawhi Leonard's lone season with the Toronto Raptors couldn't have gone better on the court, and it also seems to have been a slam dunk away from the hardwood.'The guys, the journey, you know what I mean?' Leonard told reporters of his memories north of the b ",https://www.thescore.com/nba/news/1867936,2019-11-10T15:17:00Z,"Kawhi Leonard's lone season with the Toronto Raptors couldn't have gone better on the court, and it also seems to have been a slam dunk away from the hardwood.;""The guys, the journey, you know what I mean?"" Leonard told reporters of his memories north of the  [+1403 chars]"
Blackburnnews.com,NaN,More than 500 objects left in patients during surgery in Canada - BlackburnNews.com,More than 500 objects left in patients during surgery in Canada BlackburnNews.com View full coverage on Google News,https://blackburnnews.com/windsor/windsor-news/2019/11/07/500-objects-left-patients-surgery-canada/,2019-11-07T16:11:00Z,"File photo courtesy of   Can Stock Photo Inc. / monkeybusinessBy Adelle LoiselleNovember 7, 2019 11:11am@ALoiselleNewsA study by the Canadian Institute for Health Information is raising the alarm about the number of times surgeons left objects inside their pa  [+1683 chars]"
Castanet.net,NaN,Students say schools are not protective against abusive coaches - Canada News - Castanet.net,Students say schools are not protective against abusive coaches - Canada News Castanet.net View full coverage on Google News,https://www.castanet.net/news/Canada/271161/Students-say-schools-are-not-protective-against-abusive-coaches,2019-11-24T17:41:00Z,"Meredith Goldhawk has loved hockey since she was four.;But she says since a coach at the University of Windsor harassed and bullied her, she can't even bring herself to play a pickup game with friends.;""Some days I will just sit down and cry because she too  [+4314 chars]"
Huffingtonpost.ca,Premila D'Sa,Quebec Overturns Decision To Deny French Native Immigration Over Language Skills - HuffPost Canada,Quebec Overturns Decision To Deny French Native Immigration Over Language Skills HuffPost Canada View full coverage on Google News,https://www.huffingtonpost.ca/entry/french-native-quebec-immigration_ca_5dc728bae4b0fcfb7f67633f,2019-11-09T23:38:04Z,"MONTREAL   The Quebec government has overturned a decision to deny a French woman her Quebec immigration documents because a chapter of her PhD thesis was written in English.;The controversial ruling was invalidated abruptly on Friday after Emilie Dubois  ca  [+3378 chars]"
Huffingtonpost.ca,Sima Shakeri,Investigation Underway After 5 Teens Shot In Toronto - HuffPost Canada,Investigation Underway After 5 Teens Shot In Toronto HuffPost Canada Targeted shooting in Toronto caught on video CBC News: The National Security video captures Toronto apartment shooting that sent 5 teenagers to hospital CBC.ca Toronto police chief extends g ,https://www.huffingtonpost.ca/entry/toronto-shooting-5-teens_ca_5dbb8cd5e4b057bf506f6c92,2019-11-01T02:36:52Z,"TORONTO   Cleaners were removing large bloodstains splattered along the hallway of a Toronto residential building on Thursday following a shooting that sent five teenagers to hospital, some in critical condition.;Police said the victims   a 16-year-old girl,  [+4043 chars]"
Www.tsn.ca,The Canadian Press,Canada beats US for first time in Davis Cup - TSN,"Canada is heading to the quarterfinals at the inaugural Davis Cup Finals after sweeping a pair of singles matches against the United States on Tuesday.  Denis Shapovalov of Richmond Hill, Ont., clinched the victory in the best-of-three tie, beating Taylor Fri ",https://www.tsn.ca/canadian-davis-cup-team-sticks-with-vasek-pospisil-denis-shapovalov-1.1400251,2019-11-19T16:35:29Z,"MADRID Canada is heading to the quarterfinals at the inaugural Davis Cup Finals after sweeping a pair of singles matches against the United States on Tuesday.;Denis Shapovalov of Richmond Hill, Ont., clinched the victory in the best-of-three tie, beating Tay  [+3040 chars]"
